company_name,vertical,months_on_platform,contract_value_mo,ai_runs_this_week,ai_runs_last_week,workflow_completion_rate,sessions_per_week,integrations_connected,total_integrations,seats_now,seats_prev,m_first_ai_output,m_workspace_configured,m_first_workflow,m_integration_connected,m_team_member_added,m_volume_threshold,m_second_use_case,m_output_shared
Meridian Finance,Fintech,14,950,312,290,0.84,11,7,10,9,7,True,True,True,True,True,True,True,True
Apex Compliance,Fintech,18,1100,405,380,0.91,13,8,10,12,10,True,True,True,True,True,True,True,True
Clearpath Lending,Fintech,9,820,244,230,0.78,9,6,10,6,5,True,True,True,True,True,True,False,False
Stackline Credit,Fintech,22,1350,510,475,0.88,12,9,10,15,13,True,True,True,True,True,True,True,True
Northbrook Risk,Fintech,11,900,270,255,0.81,10,6,10,7,6,True,True,True,True,True,True,False,False
PulseHire,HR & People Ops,16,750,289,271,0.86,11,7,10,10,8,True,True,True,True,True,True,True,True
TalentOS,HR & People Ops,20,880,362,340,0.89,12,8,10,14,12,True,True,True,True,True,True,True,True
HireFlow AI,HR & People Ops,8,620,201,190,0.74,9,5,10,6,5,True,True,True,True,True,False,False,False
PeopleGraph,HR & People Ops,13,700,245,232,0.79,10,6,10,8,7,True,True,True,True,True,True,False,False
CompAssist,HR & People Ops,24,810,390,365,0.92,13,9,10,16,14,True,True,True,True,True,True,True,True
Offerdesk,HR & People Ops,10,660,222,210,0.76,9,5,10,6,5,True,True,True,True,True,False,False,False
Veritas Capital AI,Fintech,7,840,198,186,0.72,8,5,10,5,4,True,True,True,True,False,False,False,False
Vault Credit AI,Fintech,10,950,138,185,0.40,4,3,10,7,8,True,True,True,False,False,False,False,False
ReconBot,Fintech,7,860,152,202,0.43,5,3,10,6,7,True,True,True,False,False,True,False,False
PolicyFlow,HR & People Ops,8,680,162,215,0.46,5,4,10,5,6,True,True,True,False,False,False,False,False
ComplianceTrack,Fintech,12,990,122,170,0.36,4,2,10,6,7,True,True,True,True,False,False,False,False
HRAssist Pro,HR & People Ops,5,600,140,188,0.41,4,2,10,5,6,True,True,False,False,False,False,False,False
OnboardAI,HR & People Ops,4,510,18,75,0.12,1,0,10,2,3,True,False,False,False,False,False,False,False
RiskLedger,Fintech,6,870,25,90,0.15,1,1,10,2,3,True,True,False,False,False,False,False,False
WorkflowHR,HR & People Ops,3,590,10,55,0.08,0,0,10,1,2,True,False,False,False,False,False,False,False
