company_name,vertical,months_on_platform,contract_value_mo,ai_runs_this_week,ai_runs_last_week,workflow_completion_rate,sessions_per_week,integrations_connected,total_integrations,seats_now,seats_prev,m_first_ai_output,m_workspace_configured,m_first_workflow,m_integration_connected,m_team_member_added,m_volume_threshold,m_second_use_case,m_output_shared
Meridian Finance,Fintech,24,1400,520,490,0.91,13,9,10,18,15,True,True,True,True,True,True,True,True
Apex Compliance,Fintech,30,1500,610,575,0.93,14,10,10,22,19,True,True,True,True,True,True,True,True
Stackline Credit,Fintech,18,1250,380,355,0.85,11,8,10,14,12,True,True,True,True,True,True,True,True
Veritas Capital AI,Fintech,20,1350,445,418,0.88,12,8,10,16,14,True,True,True,True,True,True,True,True
Clearpath Lending,Fintech,14,1100,295,278,0.81,10,7,10,10,9,True,True,True,True,True,True,False,False
PulseHire,HR & People Ops,22,900,390,365,0.89,12,8,10,15,13,True,True,True,True,True,True,True,True
TalentOS,HR & People Ops,28,950,460,432,0.92,13,9,10,20,17,True,True,True,True,True,True,True,True
CompAssist,HR & People Ops,16,820,280,265,0.82,10,7,10,11,10,True,True,True,True,True,True,False,False
CareSignal,Healthtech,19,1100,310,292,0.83,11,7,10,12,10,True,True,True,True,True,True,True,False
ClinicalCopilot,Healthtech,26,1200,420,395,0.87,12,8,10,16,14,True,True,True,True,True,True,True,True
MedScribe,Healthtech,15,980,265,250,0.79,9,6,10,9,8,True,True,True,True,True,True,False,False
CodeScan AI,DevTools,21,650,355,335,0.86,12,8,10,14,12,True,True,True,True,True,True,True,True
DeployPilot,DevTools,17,580,280,265,0.80,10,7,10,10,9,True,True,True,True,True,True,False,False
MonitorPulse,DevTools,13,540,210,198,0.75,9,6,10,8,7,True,True,True,True,True,False,False,False
NorthBrook Risk,Fintech,12,980,135,180,0.39,4,3,10,7,8,True,True,True,True,False,False,False,False
ReconBot,Fintech,9,910,148,198,0.41,4,3,10,6,7,True,True,True,False,False,False,False,False
LoanLogic AI,Fintech,11,890,125,165,0.36,4,2,10,5,6,True,True,True,True,False,False,False,False
AuditDraft,Fintech,8,960,158,210,0.44,5,3,10,6,7,True,True,True,False,False,True,False,False
PeopleGraph,HR & People Ops,10,760,142,188,0.40,4,3,10,6,7,True,True,True,False,False,False,False,False
HireFlow AI,HR & People Ops,7,680,128,172,0.38,3,2,10,4,5,True,True,False,False,False,False,False,False
OfferDesk,HR & People Ops,13,740,155,205,0.43,5,4,10,8,9,True,True,True,True,False,False,False,False
ScreenIQ,HR & People Ops,9,720,132,178,0.39,4,3,10,6,7,True,True,True,False,False,False,False,False
DiagnoseAI,Healthtech,11,950,145,192,0.42,5,3,10,7,8,True,True,True,False,False,False,False,False
ChartFlow,Healthtech,8,840,122,162,0.37,3,2,10,5,6,True,True,True,False,False,False,False,False
PathwayIQ,Healthtech,14,960,162,215,0.44,5,3,10,8,9,True,True,True,True,False,False,False,False
OutcomeAI,Healthtech,6,880,118,158,0.35,3,2,10,4,5,True,True,False,False,False,False,False,False
ReviewBot,DevTools,10,520,135,180,0.38,4,3,10,6,7,True,True,True,False,False,False,False,False
IncidentIQ,DevTools,8,510,120,162,0.36,3,2,10,5,6,True,True,False,False,False,False,False,False
DocsFlow AI,DevTools,12,570,148,198,0.41,4,3,10,6,7,True,True,True,True,False,False,False,False
ComplianceTrack,Fintech,7,940,28,98,0.12,1,1,10,3,4,True,True,False,False,False,False,False,False
RiskLedger,Fintech,5,870,15,68,0.09,0,0,10,2,3,True,False,False,False,False,False,False,False
PolicyFlow,HR & People Ops,6,700,22,85,0.11,1,1,10,3,4,True,True,False,False,False,False,False,False
WorkflowHR,HR & People Ops,4,640,10,55,0.08,0,0,10,1,2,True,False,False,False,False,False,False,False
OnboardAI,HR & People Ops,5,610,18,72,0.10,1,0,10,2,3,True,False,False,False,False,False,False,False
BillingPulse,Healthtech,7,850,25,90,0.11,1,1,10,3,4,True,True,False,False,False,False,False,False
TriageBot,Healthtech,4,810,12,58,0.08,0,0,10,1,2,True,False,False,False,False,False,False,False
RxAssist,Healthtech,6,870,20,80,0.10,1,0,10,2,3,True,False,False,False,False,False,False,False
TestGen,DevTools,5,480,15,62,0.09,0,0,10,1,2,True,False,False,False,False,False,False,False
SecurityScan AI,DevTools,7,530,28,95,0.12,1,1,10,3,4,True,True,False,False,False,False,False,False
RefactorBot,DevTools,4,490,8,50,0.07,0,0,10,1,2,True,False,False,False,False,False,False,False
